RU;56;234;TransparentCalls;0.78;707;84;10
US;54;1932;E-Voice;0.79;99;51;42
GB;73;44;TransparentCalls;0.89;793;65;25
FR;80;1500;TransparentCalls;0.68;99;74;12
BL;66;455;E-Voice;0.75;427;73;34
AT;10;1537;TransparentCalls;0.75;81;10;20
BG;82;345;E-Voice;0.91;369;27;37
DK;32;1486;JustPhone;0.81;167;84;55
CA;47;44;JustPhone;0.70;201;72;49
ES;16;910;E-Voice;0.99;480;53;32
CH;73;106;JustPhone;0.61;393;91;53
TR;93;1672;TransparentCalls;0.92;486;59;40
PE;41;1066;JustPhone;1.00;104;0;58
NZ;67;1565;JustPhone;0.75;164;81;43
MC;59;1972;E-Voice;0.79;82;12;19
