RU;71;1605;TransparentCalls;0.66;97;66;9
US;31;626;E-Voice;0.83;550;47;44
GB;41;1393;TransparentCalls;0.95;737;45;28
FR;11;927;TransparentCalls;0.69;802;80;14
BL;31;1250;E-Voice;0.60;593;1;37
AT;96;263;TransparentCalls;0.75;468;67;34
BG;45;1534;E-Voice;0.79;234;44;18
DK;91;1802;JustPhone;0.62;777;67;57
CA;54;1128;JustPhone;0.61;870;2;23
ES;65;1045;E-Voice;0.90;639;79;40
CH;13;964;JustPhone;0.79;241;41;14
TR;82;250;TransparentCalls;0.85;192;18;48
PE;39;471;JustPhone;0.71;646;80;52
NZ;98;834;JustPhone;0.85;253;26;28
MC;19;706;E-Voice;0.94;343;76;42
